ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMzg=,2025-09-18T17:43:58+00:00,LBAND,1023.5648741682242,10.390143738404856,1.501976446138882e-05,59000.0,3.9385,0.063,3065.662109375,3.243,-1.69432,0.03,0.1094057578740157,-1.0046381306237384,0.054471838091823044
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNDk=,2025-09-27T16:02:35+00:00,LBAND,1023.5648741682242,10.39023471289748,1.071454047096376e-05,59000.0,3.0912,0.031,6106.99609375,6.717,-3.15766,0.03,0.1268531619094488,-2.243674523692466,0.05803085848152452
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNTM=,2025-09-28T17:54:17+00:00,LBAND,1023.4874903925232,10.390193533690436,1.814236146940363e-05,59000.0,11.0329,0.064,5518.43701171875,5.884,-2.25976,0.03,0.1061761811023622,-1.6027211895140239,0.058981608178401555
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNTE=,2025-09-27T16:36:51+00:00,LBAND,1022.5395391401868,10.3902377838456,9.27842906193403e-06,59000.0,3.0645,0.028,5042.12646484375,6.273,-3.07145,0.03,0.1172720841535433,-2.1552038007998626,0.059193921603747236
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNTI=,2025-09-27T16:53:58+00:00,LBAND,1022.5395391401868,10.390242089759983,1.048167491623953e-05,59000.0,4.8945,0.034,6149.40234375,6.457,-3.00615,0.03,0.1104361466535433,-2.0961344885543305,0.05957669255495253
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MzY=,2025-10-08T21:57:58+00:00,LBAND,1023.4874903925232,10.390239572664449,3.714497523395637e-05,59000.0,1.1254,0.098,837.599792480469,1.191,-1.29534,0.1,0.0943882258858267,-0.5102203135707147,0.05063561769489115
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY1NjA=,2025-08-30T12:57:34+00:00,LBAND,1023.5648741682242,10.390234155069662,2.457889508136923e-05,59000.0,2.6866,0.057,1986.58422851562,2.367,-0.962756,0.05,0.1193328617125984,-0.08683558056324406,0.0024520018675989767
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MTg=,2025-10-08T16:37:09+00:00,LBAND,1023.4874903925232,10.390255608113176,1.162983971569399e-05,59000.0,1.0587,0.043,1903.58654785156,2.755,-2.19708,0.04,0.1053534079724409,-1.5696474835345524,0.05777055878799353
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MjY=,2025-10-08T18:54:05+00:00,LBAND,1023.5648741682244,10.390213083707792,2.232373595707007e-05,59000.0,1.268,0.041,2112.3046875,2.924,-1.83776,0.07,0.0939576156496063,-0.7887934914359949,0.05605825067272716
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MjU=,2025-10-08T18:36:58+00:00,LBAND,1023.4874903925232,10.390241504927063,2.525299529861222e-05,59000.0,1.3702,0.046,1939.60986328125,2.646,-1.8009,0.07,0.095334030511811,-0.8735767560190316,0.05641574591071284
